report_id,date,person_role,person_injury_lvl,person_veh_type,veh_type,veh_make,veh_model,police_beat,address_no_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,address
20200140,2020-01-06,BICYCLIST,SEVERE,,BICYCLE,GIANNINI,,531,1900, ,PERSHING,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"1900 PERSHING DRIVE, San Diego, CA"
20200152,2020-01-07,BICYCLIST,PAIN,,BICYCLE,,,521,1400, ,BROADWAY, , , , ,22517,VC,UNSAFE OPENING OF VEH DOOR (I),1,0,,"1400 BROADWAY, San Diego, CA"
20200153,2020-01-07,BICYCLIST,PAIN,,BICYCLE,,,243,, ,MIRAMAR,ROAD, ,PADGETT,STREET,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"MIRAMAR ROAD, San Diego, CA"
20200237,2020-01-10,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,523,700, ,05TH,AVENUE, , , ,21657,VC,LANE USAGE:DISOBEY DESIGNATED TRAFFIC DIRECTION Dev (I),1,0,,"700 05TH AVENUE, San Diego, CA"
20200338,2020-01-13,BICYCLIST,PAIN,,BICYCLE,GIANNINI,,614,4700, ,WEST POINT LOMA,BOULEVARD, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"4700 WEST POINT LOMA BOULEVARD, San Diego, CA"
20002498,2020-01-14,BICYCLIST,,,BICYCLE,GT,,511,3600, ,MAIN,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3600 MAIN STREET, San Diego, CA"
20200399,2020-01-16,BICYCLIST,VISABLE,,BICYCLE,,,115,, ,GENESEE,AVENUE, ,NOBEL,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"GENESEE AVENUE, San Diego, CA"
20200444,2020-01-17,BICYCLIST,PAIN,,BICYCLE,"TREK, INC.",,115,4600, ,NOBEL,DRIVE, , , ,21800A,VC,RIGHT-OF-WAY:INTERSECTION,1,0,,"4600 NOBEL DRIVE, San Diego, CA"
20200445,2020-01-17,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,521,600, ,11TH,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,FELONY,"600 11TH AVENUE, San Diego, CA"
20200527,2020-01-22,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,931,3900, ,SORRENTO VALLEY,BOULEVARD, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"3900 SORRENTO VALLEY BOULEVARD, San Diego, CA"
